HOLEID,ESTE,NORTE,COTA,LARGO,Proyecto
16QDRInf_02,2535072.009,6713296.475,2089.479,220,QDD_Main
16QDRInf_03,2535107.107,6713315.2,2089.846,130,QDD_Main
16QDRInf_04,2535110.928,6713255.224,2089.55,150,QDD_Main
16QDRInf_05,2535142.039,6713284.786,2089.321,138,QDD_Main
16QDRInf_06,2535168.93,6713235.755,2089.868,140,QDD_Main
16QDRInf_07,2535187.355,6713268.797,2089.702,140,QDD_Main
16QDRInf_08,2535207.859,6713218.679,2090.29,152,QDD_Main
16QDRInf_09,2535233.391,6713250.484,2089.935,176,QDD_Main
16QDRInf_10,2535284.925,6713193.093,2100.356,160,QDD_Main
16QDRInf_11,2535245.117,6713220.189,2090.264,176,QDD_Main
16QDRInf_12,2535350.841,6713185.599,2100.185,160,QDD_Main
16QDRInf_13,2535384.177,6713223.927,2099.804,150,QDD_Main
16QDRInf_14,2535505.935,6713306.997,2110.099,190,QDD_Main
16QDRInf_15,2535424.317,6713263.863,2110.756,150,QDD_Main
16QDRInf_16,2535405.966,6713192.598,2111.482,180,QDD_Main
16QDRInf_17,2535414.945,6713151.333,2110.737,180,QDD_Main
16QDRInf_18,2535456.921,6713219.854,2110.967,180,QDD_Main
16QDRInf_19,2535447.853,6713189.07,2110.581,180,QDD_Main
16QDRInf_20,2535439.3,6713112.787,2119.749,180,QDD_Main
